Value,Value Description,Category ,Category Description,,Symbol,Breadth,,,,,,,,,,,,,,,,
National Security,Protection of my nation from enemies,Security,"Safety, harmony, and stability of society, of relationships, and of self.",,,Individual,,,,,,,,,,,,,,,,
Reciprocation of Favors,Avoidance of indebtedness,Security,"Safety, harmony, and stability of society, of relationships, and of self.",,,Individual,,,,,,,,,,,,,,,,
Sense of Belonging,Feeling that others care about me,Security,"Safety, harmony, and stability of society, of relationships, and of self.",,,Individual,,,,,,,,,,,,,,,,
Social Order,Stability of society,Security,"Safety, harmony, and stability of society, of relationships, and of self.",,,Individual,,,,,,,,,,,,,,,,
Choosing Own Goals,Selecting own purposes and priorities,Self-direction,"Independent thought and action: choosing, creating, exploring.",,,Individual,,,,,,,,,,,,,,,,
Creativity,"Uniqueness, imagination",Self-direction,"Independent thought and action: choosing, creating, exploring.",,,Individual,,,,,,,,,,,,,,,,
Curious,"Interested in everything, exploring",Self-direction,"Independent thought and action: choosing, creating, exploring.",,,Individual,,,,,,,,,,,,,,,,
Freedom,Freedom of action and thought,Self-direction,"Independent thought and action: choosing, creating, exploring.",,,Individual,,,,,,,,,,,,,,,,
Independent,"Self-reliant, self-sufficient",Self-direction,"Independent thought and action: choosing, creating, exploring.",,,Individual,,,,,,,,,,,,,,,,
Privacy,The right to have a private sphere,Self-direction,"Independent thought and action: choosing, creating, exploring.",,,Individual,,,,,,,,,,,,,,,,
Self Respect,Belief in one's own worth,Self-direction,"Independent thought and action: choosing, creating, exploring.",,,Individual,,,,,,,,,,,,,,,,
A Varied Life,"Filled with challenge, novelty and change",Stimulation,"Excitement, novelty and challenge in life.",,,Individual,,,,,,,,,,,,,,,,
An Exciting Life,Stimulating experiences,Stimulation,"Excitement, novelty and challenge in life.",,,Individual,,,,,,,,,,,,,,,,
Daring,"Seeking adventure, risk",Stimulation,"Excitement, novelty and challenge in life.",,,Individual,,,,,,,,,,,,,,,,
Accepting My Portion in Life,Submitting to life's circumstances,Tradition,"Respect, commitment and acceptance of the customs and ideas that traditional culture or religion provide the self.",,,Individual,,,,,,,,,,,,,,,,
Detachment,Distance from worldly concerns,Tradition,"Respect, commitment and acceptance of the customs and ideas that traditional culture or religion provide the self.",,,Individual,,,,,,,,,,,,,,,,
Devout,Holding to religious faith and belief,Tradition,"Respect, commitment and acceptance of the customs and ideas that traditional culture or religion provide the self.",,,Individual,,,,,,,,,,,,,,,,
Humble,"Modest, self-effacing",Tradition,"Respect, commitment and acceptance of the customs and ideas that traditional culture or religion provide the self.",,,Individual,,,,,,,,,,,,,,,,
Moderate,Avoiding extremes of feeling and action,Tradition,"Respect, commitment and acceptance of the customs and ideas that traditional culture or religion provide the self.",,,Individual,,,,,,,,,,,,,,,,
Respect for Tradition,Preservation of time-honored customs,Tradition,"Respect, commitment and acceptance of the customs and ideas that traditional culture or religion provide the self.",,,Individual,,,,,,,,,,,,,,,,
A World at Peace,Free of war and conflict,Universalism,"Understanding, appreciation, tolerance and protection for the welfare of all people and for nature.",,,Individual,,,,,,,,,,,,,,,,
A World of Beauty,Beauty of nature and the arts,Universalism,"Understanding, appreciation, tolerance and protection for the welfare of all people and for nature.",,,Individual,,,,,,,,,,,,,,,,
Broadminded,Tolerant of different ideas and beliefs,Universalism,"Understanding, appreciation, tolerance and protection for the welfare of all people and for nature.",,,Individual,,,,,,,,,,,,,,,,
Equality,Equal opportunity for all,Universalism,"Understanding, appreciation, tolerance and protection for the welfare of all people and for nature.",,,Individual,,,,,,,,,,,,,,,,
Inner Harmony,At peace with myself,Universalism,"Understanding, appreciation, tolerance and protection for the welfare of all people and for nature.",,,Individual,,,,,,,,,,,,,,,,
Protecting the Environment,Preserving nature,Universalism,"Understanding, appreciation, tolerance and protection for the welfare of all people and for nature.",,,Individual,,,,,,,,,,,,,,,,
Social Justice,"Correcting injustice, care for the weak",Universalism,"Understanding, appreciation, tolerance and protection for the welfare of all people and for nature.",,,Individual,,,,,,,,,,,,,,,,
Unity with Nature,Fitting into nature,Universalism,"Understanding, appreciation, tolerance and protection for the welfare of all people and for nature.",,,Individual,,,,,,,,,,,,,,,,
Wisdom,A mature understanding of life,Universalism,"Understanding, appreciation, tolerance and protection for the welfare of all people and for nature.",,,Individual,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Ambitious,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Achievement,</h4><br><br><br><p>,Personal success through demonstrating competence according to social standards.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Capable,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Achievement,</h4><br><br><br><p>,Personal success through demonstrating competence according to social standards.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Influential,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Achievement,</h4><br><br><br><p>,Personal success through demonstrating competence according to social standards.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Intelligent,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Achievement,</h4><br><br><br><p>,Personal success through demonstrating competence according to social standards.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Successful,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Achievement,</h4><br><br><br><p>,Personal success through demonstrating competence according to social standards.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,A Spiritual Life,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Benevolence,</h4><br><br><br><p>,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Forgiving,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Benevolence,</h4><br><br><br><p>,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Helpful,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Benevolence,</h4><br><br><br><p>,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Honest,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Benevolence,</h4><br><br><br><p>,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Loyal,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Benevolence,</h4><br><br><br><p>,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Mature Love,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Benevolence,</h4><br><br><br><p>,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Meaning in Life,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Benevolence,</h4><br><br><br><p>,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Responsible,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Benevolence,</h4><br><br><br><p>,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,True Friendship,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Benevolence,</h4><br><br><br><p>,Preservation and enhancement of the welfare of people with whom one is in frequent personal contact.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Honoring of Elders,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Conformity,</h4><br><br><br><p>,"Restraint of actions, inclinations, and impulses likely to upset or harm others and violate social expectations or norms.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Obedient,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Conformity,</h4><br><br><br><p>,"Restraint of actions, inclinations, and impulses likely to upset or harm others and violate social expectations or norms.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Politeness,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Conformity,</h4><br><br><br><p>,"Restraint of actions, inclinations, and impulses likely to upset or harm others and violate social expectations or norms.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Self Discipline,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Conformity,</h4><br><br><br><p>,"Restraint of actions, inclinations, and impulses likely to upset or harm others and violate social expectations or norms.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Enjoying Life,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Hedonism,</h4><br><br><br><p>,Pleasure and sensuous gratification for oneself.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Pleasure,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Hedonism,</h4><br><br><br><p>,Pleasure and sensuous gratification for oneself.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Self-Indulgent,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Hedonism,</h4><br><br><br><p>,Pleasure and sensuous gratification for oneself.,</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Authority,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Power,</h4><br><br><br><p>,"Social status and prestige, control or dominance over people and resources. Impulses likely to upset or harm others and violate social expectations or norms.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Preserving My Public Image,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Power,</h4><br><br><br><p>,"Social status and prestige, control or dominance over people and resources. Impulses likely to upset or harm others and violate social expectations or norms.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Social Power,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Power,</h4><br><br><br><p>,"Social status and prestige, control or dominance over people and resources. Impulses likely to upset or harm others and violate social expectations or norms.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Social Recognition,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Power,</h4><br><br><br><p>,"Social status and prestige, control or dominance over people and resources. Impulses likely to upset or harm others and violate social expectations or norms.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Wealth,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Power,</h4><br><br><br><p>,"Social status and prestige, control or dominance over people and resources. Impulses likely to upset or harm others and violate social expectations or norms.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Clean,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Security,</h4><br><br><br><p>,"Safety, harmony, and stability of society, of relationships, and of self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Family Security,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Security,</h4><br><br><br><p>,"Safety, harmony, and stability of society, of relationships, and of self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Healthy,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Security,</h4><br><br><br><p>,"Safety, harmony, and stability of society, of relationships, and of self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,National Security,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Security,</h4><br><br><br><p>,"Safety, harmony, and stability of society, of relationships, and of self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Reciprocation of Favors,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Security,</h4><br><br><br><p>,"Safety, harmony, and stability of society, of relationships, and of self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Sense of Belonging,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Security,</h4><br><br><br><p>,"Safety, harmony, and stability of society, of relationships, and of self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Social Order,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Security,</h4><br><br><br><p>,"Safety, harmony, and stability of society, of relationships, and of self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Choosing Own Goals,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Self-direction,</h4><br><br><br><p>,"Independent thought and action: choosing, creating, exploring.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Creativity,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Self-direction,</h4><br><br><br><p>,"Independent thought and action: choosing, creating, exploring.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Curious,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Self-direction,</h4><br><br><br><p>,"Independent thought and action: choosing, creating, exploring.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Freedom,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Self-direction,</h4><br><br><br><p>,"Independent thought and action: choosing, creating, exploring.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Independent,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Self-direction,</h4><br><br><br><p>,"Independent thought and action: choosing, creating, exploring.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Privacy,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Self-direction,</h4><br><br><br><p>,"Independent thought and action: choosing, creating, exploring.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Self Respect,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Self-direction,</h4><br><br><br><p>,"Independent thought and action: choosing, creating, exploring.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,A Varied Life,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Stimulation,</h4><br><br><br><p>,"Excitement, novelty and challenge in life.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,An Exciting Life,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Stimulation,</h4><br><br><br><p>,"Excitement, novelty and challenge in life.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Daring,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Stimulation,</h4><br><br><br><p>,"Excitement, novelty and challenge in life.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Accepting My Portion in Life,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Tradition,</h4><br><br><br><p>,"Respect, commitment and acceptance of the customs and ideas that traditional culture or religion provide the self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Detachment,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Tradition,</h4><br><br><br><p>,"Respect, commitment and acceptance of the customs and ideas that traditional culture or religion provide the self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Devout,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Tradition,</h4><br><br><br><p>,"Respect, commitment and acceptance of the customs and ideas that traditional culture or religion provide the self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Humble,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Tradition,</h4><br><br><br><p>,"Respect, commitment and acceptance of the customs and ideas that traditional culture or religion provide the self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Moderate,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Tradition,</h4><br><br><br><p>,"Respect, commitment and acceptance of the customs and ideas that traditional culture or religion provide the self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,Respect for Tradition,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Tradition,</h4><br><br><br><p>,"Respect, commitment and acceptance of the customs and ideas that traditional culture or religion provide the self.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,A World at Peace,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Universalism,</h4><br><br><br><p>,"Understanding, appreciation, tolerance and protection for the welfare of all people and for nature.",</p></div>,,,,,,,,,,,,,,
"<div class=""swiper-slide""><h4>",Individual Values,</h4><br><h2>,A World of Beauty,"</h2><br><h4 class=""values_badge"" style=""background: #cccccc"">",Universalism,</h4><br><br><br><p>,"Understanding, appreciation, tolerance and protection for the welfare of all people and for nature.",</p></div>,,,,,,,,,,,,,,
